Function,Basis,System,BasFunc,Input,Reference,RelVal
cam-b3lyp,def2-tzvpd,Ne,40,-31.0481,-31.7230,0.84
cam-b3lyp,def2-tzvpd,O,40,-19.3646,-19.8893,0.31
pbe,631G,B,9,-6.5926,-7.1960,0.03
pbe,631G,Be,9,-3.8773,-4.3361,0.01
pbe,631G,F,9,-24.3115,-25.4317,0.53
pbe,631G,Li,9,-1.8816,-2.1679,0.00
pbe,631G,Ne,9,-30.4647,-31.7230,0.84
pbe,aug-cc-pvdz,B,23,-6.6219,-7.1960,0.03
pbe,aug-cc-pvdz,Be,23,-3.9000,-4.3361,0.01
pbe,aug-cc-pvdz,F,23,-24.3603,-25.4317,0.53
pbe,aug-cc-pvdz,Li,23,-1.8890,-2.1679,0.00
pbe,aug-cc-pvdz,Ne,23,-30.5285,-31.7230,0.84
pbe,aug-cc-pvtz,B,46,-6.6209,-7.1960,0.03
pbe,aug-cc-pvtz,Be,46,-3.9011,-4.3361,0.01
pbe,aug-cc-pvtz,F,46,-24.3368,-25.4317,0.53
pbe,aug-cc-pvtz,Li,46,-1.8887,-2.1679,0.00
pbe,aug-cc-pvtz,Ne,46,-30.4978,-31.7230,0.84
pbe,def2-sv_p,B,37,-6.9182,-7.1960,0.03
pbe,def2-sv_p,Be,22,-4.1538,-4.3361,0.01
pbe,def2-sv_p,C,37,-10.3998,-10.7658,0.08
pbe,def2-sv_p,F,40,-24.8347,-25.4317,0.53
pbe,def2-sv_p,Li,17,-2.0961,-2.1679,0.00
pbe,def2-sv_p,N,37,-14.5127,-14.9587,0.17
pbe,def2-sv_p,Ne,40,-31.0481,-31.7230,0.84
pbe,def2-sv_p,O,40,-19.3646,-19.8893,0.31
pbe,def2-svpd,B,37,-6.9182,-7.1960,0.03
pbe,def2-svpd,Be,22,-4.1538,-4.3361,0.01
pbe,def2-svpd,C,37,-10.3998,-10.7658,0.08
pbe,def2-svpd,F,40,-24.8347,-25.4317,0.53
pbe,def2-svpd,Li,17,-2.0961,-2.1679,0.00
pbe,def2-svpd,N,37,-14.5127,-14.9587,0.17
pbe,def2-svpd,Ne,40,-31.0481,-31.7230,0.84
pbe,def2-svpd,O,40,-19.3646,-19.8893,0.31
pbe,def2-tzvp,B,31,-6.6138,-7.1960,0.03
pbe,def2-tzvp,Be,19,-3.8964,-4.3361,0.01
pbe,def2-tzvp,F,31,-24.3227,-25.4317,0.53
pbe,def2-tzvp,Li,14,-1.8920,-2.1679,0.00
pbe,def2-tzvp,N,31,-14.0815,-14.9587,0.17
pbe,def2-tzvp,Ne,31,-30.4817,-31.7230,0.84
pbe,def2-tzvpd,B,37,-6.6142,-7.1960,0.03
pbe,def2-tzvpd,Be,22,-3.8964,-4.3361,0.01
pbe,def2-tzvpd,F,40,-24.3312,-25.4317,0.53
pbe,def2-tzvpd,Li,17,-1.8920,-2.1679,0.00
pbe,def2-tzvpd,N,37,-14.0821,-14.9587,0.17
pbe,def2-tzvpd,Ne,40,-30.4922,-31.7230,0.84
pbe0,631G,B,9,-6.8666,-7.1960,0.03
pbe0,631G,Be,9,-4.0910,-4.3361,0.01
pbe0,631G,C,9,-10.3666,-10.7658,0.08
pbe0,631G,F,9,-24.8257,-25.4317,0.53
pbe0,631G,Li,9,-2.0332,-2.1679,0.00
pbe0,631G,N,9,-14.5070,-14.9587,0.17
pbe0,631G,Ne,9,-31.0425,-31.7230,0.84
pbe0,631G,O,9,-19.3637,-19.8893,0.31
pbe0,aug-cc-pvdz,B,23,-6.8936,-7.1960,0.03
pbe0,aug-cc-pvdz,Be,23,-4.1134,-4.3361,0.01
pbe0,aug-cc-pvdz,C,23,-10.3948,-10.7658,0.08
pbe0,aug-cc-pvdz,F,23,-24.8657,-25.4317,0.53
pbe0,aug-cc-pvdz,Li,23,-2.0409,-2.1679,0.00
pbe0,aug-cc-pvdz,N,23,-14.5230,-14.9587,0.17
pbe0,aug-cc-pvdz,Ne,23,-31.0956,-31.7230,0.84
pbe0,aug-cc-pvdz,O,23,-19.3841,-19.8893,0.31
pbe0,aug-cc-pvtz,B,46,-6.8926,-7.1960,0.03
pbe0,aug-cc-pvtz,Be,46,-4.1141,-4.3361,0.01
pbe0,aug-cc-pvtz,C,46,-10.3868,-10.7658,0.08
pbe0,aug-cc-pvtz,F,46,-24.8461,-25.4317,0.53
pbe0,aug-cc-pvtz,Li,46,-2.0401,-2.1679,0.00
pbe0,aug-cc-pvtz,N,46,-14.5102,-14.9587,0.17
pbe0,aug-cc-pvtz,Ne,46,-31.0697,-31.7230,0.84
pbe0,aug-cc-pvtz,O,46,-19.3672,-19.8893,0.31
pbe0,def2-sv_p,B,14,-6.8864,-7.1960,0.03
pbe0,def2-sv_p,Be,9,-4.1121,-4.3361,0.01
pbe0,def2-sv_p,C,14,-10.3727,-10.7658,0.08
pbe0,def2-sv_p,F,14,-24.8205,-25.4317,0.53
pbe0,def2-sv_p,Li,9,-2.0399,-2.1679,0.00
pbe0,def2-sv_p,N,14,-14.4907,-14.9587,0.17
pbe0,def2-sv_p,Ne,14,-31.0372,-31.7230,0.84
