Function,Basis,System,BasFunc,Input,Reference,RelVal
cam-b3lyp,def2-sv_p,Ne,14,-31.0193,-31.7230,0.84
cam-b3lyp,def2-sv_p,O,14,-19.3463,-19.8893,0.31
pbe0,631G,B,9,-6.8666,-7.1960,0.03
pbe0,631G,Be,9,-4.0910,-4.3361,0.01
pbe0,631G,C,9,-10.3666,-10.7658,0.08
pbe0,631G,F,9,-24.8257,-25.4317,0.53
pbe0,631G,Li,9,-2.0332,-2.1679,0.00
pbe0,631G,N,9,-14.5070,-14.9587,0.17
pbe0,631G,Ne,9,-31.0425,-31.7230,0.84
pbe0,631G,O,9,-19.3637,-19.8893,0.31
pbe0,aug-cc-pvdz,B,23,-6.8936,-7.1960,0.03
pbe0,aug-cc-pvdz,Be,23,-4.1134,-4.3361,0.01
pbe0,aug-cc-pvdz,C,23,-10.3948,-10.7658,0.08
pbe0,aug-cc-pvdz,F,23,-24.8657,-25.4317,0.53
pbe0,aug-cc-pvdz,Li,23,-2.0409,-2.1679,0.00
pbe0,aug-cc-pvdz,N,23,-14.5230,-14.9587,0.17
pbe0,aug-cc-pvdz,Ne,23,-31.0956,-31.7230,0.84
pbe0,aug-cc-pvdz,O,23,-19.3841,-19.8893,0.31
pbe0,aug-cc-pvtz,B,46,-6.8926,-7.1960,0.03
pbe0,aug-cc-pvtz,Be,46,-4.1141,-4.3361,0.01
pbe0,aug-cc-pvtz,C,46,-10.3868,-10.7658,0.08
pbe0,aug-cc-pvtz,F,46,-24.8461,-25.4317,0.53
pbe0,aug-cc-pvtz,Li,46,-2.0401,-2.1679,0.00
pbe0,aug-cc-pvtz,N,46,-14.5102,-14.9587,0.17
pbe0,aug-cc-pvtz,Ne,46,-31.0697,-31.7230,0.84
pbe0,aug-cc-pvtz,O,46,-19.3672,-19.8893,0.31
pbe0,def2-tzvpd,B,37,-6.8879,-7.1960,0.03
pbe0,def2-tzvpd,Be,22,-4.1108,-4.3361,0.01
pbe0,def2-tzvpd,C,37,-10.3798,-10.7658,0.08
pbe0,def2-tzvpd,F,40,-24.8411,-25.4317,0.53
pbe0,def2-tzvpd,Li,17,-2.0421,-2.1679,0.00
pbe0,def2-tzvpd,N,37,-14.5016,-14.9587,0.17
pbe0,def2-tzvpd,Ne,40,-31.0646,-31.7230,0.84
pbe0,def2-tzvpd,O,40,-19.3634,-19.8893,0.31
pbe0,def2-sv_p,B,14,-6.8864,-7.1960,0.03
pbe0,def2-sv_p,Be,9,-4.1121,-4.3361,0.01
pbe0,def2-sv_p,C,14,-10.3727,-10.7658,0.08
pbe0,def2-sv_p,F,14,-24.8205,-25.4317,0.53
pbe0,def2-sv_p,Li,9,-2.0399,-2.1679,0.00
pbe0,def2-sv_p,N,14,-14.4907,-14.9587,0.17
pbe0,def2-sv_p,Ne,14,-31.0372,-31.7230,0.84
pbe0,def2-sv_p,O,14,-19.3449,-19.8893,0.31
